name,url,address,phone,time,day,rest,traffic,tage,latitude,longitude
63스퀘어,https://korean.visitseoul.net/attractions/63스퀘어/KOP000210?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000210,서울 영등포구 여의도동 60 ,1833-7001,매일 10:00 - 19:00 아쿠아리움 / 연중무휴 (운영시간 마감 30분 전 입장마감) 매일 10:00 - 20:00 63아트 / 연중무휴 (운영시간 마감 30분 전 입장마감),월~일,연중무휴,1호선 대방역 6번 출구 셔틀버스 탑승    5호선 여의도역 5번 출구 셔틀버스 탑승    5호선 여의나루역 4번 출구 셔틀버스 탑승 ,"63아쿠아플라넷,아쿠아리움,63스퀘어, 전망대,63빌딩레스토랑, 데이트코스,여의도, 63아트, 63빌딩전망대,63빌딩",37.519676,126.939858
동대문,https://korean.visitseoul.net/attractions/흥인지문동대문/KOP001999?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001999,서울 종로구 종로6가 69 ,02-731-0412,09:00 ~ 18:00,화~일,월,4호선 동대문역 6번 출구    1호선 동대문역 6번 출구  2호선 동대문역사문화공원역 1번 출구,"동대문명소,동대문야시장, 동대문, 역사,흥인지문,서울데이트,서울명소, 문화재,서울사대문,서울여행,성곽,서울문화재,서울동대문볼거리",37.57116496,127.0096931
국립민속박물관,https://korean.visitseoul.net/attractions/국립민속박물관/KOP001644?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001644,서울 종로구 세종로 1-1 1-1,02-3704-3114,"3-5월 9:00 ~ 18:00 (17:00까지 입장) 6-8월 9:00 ~ 18:00 (17:00까지 입장), 주말?공휴일 9:00~19:00(18:00까지 입장)  9-10월 9:00 ~ 18:00 (17:00까지 입장) 11-2월 9:00 ~ 17:00 (16:00 까지 입장) ※ 문화가 있는 날(매월 마지막주 수?금?토요일) 연장 운영은 잠정 중지합니다.",월~일,"- 매년 1월1일  - 설, 추석 당일",3호선 경복궁 5번 출구 도보 5분 3호선 안국 1번 출구 도보 15분 5호선 광화문 2번 출구 도보 15분 ,"경복궁, 생활문화,박물관, 추억의거리, 시티투어버스정류장, 역사, 국립민속박물관,광화문, 삼청동, 인사동",37.5816456,126.9789948
경찰박물관,https://korean.visitseoul.net/attractions/경찰박물관/KOP020549?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP020549,서울 종로구 신문로2가 58 ,02-3150-3681	,09:30 ~ 17:30,화~일,"월요일(공휴일인 경우 그 다음날), 1월 1일, 설.추석 연휴",5호선 광화문역 1번 출구 5호선 서대문역 4번 출구,"경찰기념관,경찰,서대문경찰박물관,경찰박물관,어린이체험관,박물관,서울여행,어린이와함께,아이와서울여행,서울아이와함께가볼만한곳,종로가볼만한곳",37.57174796,126.9621832
디지털미디어시티,https://korean.visitseoul.net/attractions/디지털미디어시티/KOP011142?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011142,서울특별시 마포구 상암동 택지개발지구 DMC,02-309-7067 (DMC홍보관),10:00 ~ 18:00 (단체관람시 사전문의 필요),월~토,"일요일, 공휴일","6호선 디지털미디어시티역 2번, 9번출구 ","디지털파빌리온, 한국문화콘텐츠센터, DMC홍보관, 누리꿈스퀘어,DMC문화공원, IT,디지털미디어시티,홍대, DMC",37.57770952,126.892043
경희궁,https://korean.visitseoul.net/attractions/경희궁/KOP001159?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001159,서울 종로구 신문로2가 1-126 ,02-724-0274,09:00 - 18:00,화 - 일,"월요일, 1월 1일",5호선 서대문역 4번 출구 도보 10분    5호선 광화문역 1번 출구 도보 10분    3호선 경복궁역 7번 출구 도보 10분,"종로데이트코스,서울고궁,걷기좋은길,서울가볼만한곳,서울5대궁궐,한국궁궐,경희궁,서울궁,고궁투어,서울산책,종로산책길,고궁데이트,경희궁산책길,서울역사박물관,종로산책",37.570694,126.96887
롯데월드 민속박물관,https://korean.visitseoul.net/attractions/롯데월드-민속박물관/KOP005815?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005815,서울 송파구 잠실동 40-1 서울 송파구 잠실동 40-1,1661-2000,평일 11:00 - 19:00(입장 및 매표 마감시간 18:30) 주말 11:00 - 20:00(입장 및 매표 마감시간 19:00),월 - 일,,8호선 잠실 3번출구 (롯데월드 쇼핑몰 3층) 2호선 잠실 3번출구 (롯데월드 쇼핑몰 3층),"잠실, 민속식당가, 전통음식,박물관, 잠실역,롯데월드민속박물관,전통, 궁중의례, 전통공예품, 어린이박물관, 전시",37.51232892,127.0976163
겸재정선미술관,https://korean.visitseoul.net/attractions/겸재정선미술관/KOP001961?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001961,서울 강서구 가양1동 243-1 ,02-2659-2206,"하절기(3~10월) 10:00~18:00 동절기(11~2월) 10:00~17:00 토/일/공휴일  10:00~17:00  *입장마감시간: 운영마감시간 1시간전 *전시해설 시간: 오전11시, 오후3시 (미술관행사 관계로 전시해설이 어려운 경우가 있음에 양해를 부탁드리고, 전화예약을 해주시면 감사하겠습니다.)",화~일,"-월요일 -1월 1일 -설날, 추석 당일","9호선 양천향교역 1번출구 - 400m직진, SK주유소 끼고 우측으로 100m","정선,문화, 미술관, 가양동, 전시, 서울식물원화가정선,양천향교역, 영화감상회, 겸재성선미술관",37.57222423,126.8384111
몽촌역사관,https://korean.visitseoul.net/attractions/몽촌역사관/KOP005507?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005507,서울 송파구 방이동 88-3 ,02-2152-5900,09:00~18:00,화~일,-월 -1월 1일,5호선 올림픽공원역 3번 출구    8호선 몽촌토성역 1번 출구 ," 백제박물관, 역사, 몽촌토성역,올림픽공원역, 박물관, 잠실, 꿈나무영화마당, 몽촌역사관,유물,움집터전시관",37.52055538,127.1150513
가을단풍길,https://korean.visitseoul.net/attractions/가을단풍길월드컵로/KOP038858?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP038858,서울 마포구 상암동 1730 ,,,,,,"가을단풍길,월드컵로가을단풍길,서울드라이브코스,서울산책코스,서울산책하기좋은길,강아지산책코스,서울가을단풍명소,단풍명소추천,가을산책하기좋은길,서울단풍,월드컵로",37.57817926,126.8817206
경복궁,https://korean.visitseoul.net/attractions/경복궁/KOP000072?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000072,서울 종로구 세종로 1-1 ,02-3700-3900,1월 ~ 2월 : 09:00~17:00(입장마감 16:00)  3월 ~ 5월 : 09:00~18:00(입장마감 17:00)  6월 ~ 8월 : 09:00~18:30(입장마감 17:30)  9월 ~ 10월 : 09:00~18:00(입장마감 17:00)  11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.  ,,화요일,5호선 광화문역 2번 출구 도보 10분 3호선 경복궁 5번 출구 도보 5분,"서울여행,서울볼거리,서울관광지,경복궁,한국역사적명소,한국전통,경복궁입장료,한국문화,서울궁궐,서울데이트,서울나들이,서울가볼만한곳,서울명소",37.5760307,126.9767219
국립국악원박물관,https://korean.visitseoul.net/attractions/국립국악박물관/KOP011893?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011893,서울 서초구 서초동 700 ,02-580-3130,10:00~18:00,화~일,-월 -1월 1일 ,3호선 남부터미널 5번 출구 7호선 내방 3번 출구 2호선 방배 1번 출구,"공연, 국립국악박물관, 국립국악원, 전시, 국악기, 박물관, 관광지, 내방역, 방배역, 강남, 남부터미널역,전통음악",37.47835444,127.0090357
별마당 도서관,https://korean.visitseoul.net/attractions/별마당-도서관/KOP026558?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP026558,서울 강남구 삼성동 159 ,02-6002-3031,10:30~22:00,월~일,연중무휴,2호선 삼성역 5?6번 출구  9호선 봉은사역 1?6?7번 출구 7호선 청담역 2번 출구,"북콘서트,별마당, 코엑스, 강남,삼성동,독서,도서관, 문화,별마당도서관",37.51148311,127.0603371
보신각,https://korean.visitseoul.net/attractions/보신각상설타종행사/KOP001904?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001904,서울 종로구 관철동 45-5 종각,02-2133-0983,보신각 타종의식 11:00 - 12:30 * 타종 체험은 사전예약 필수,화~일,"-월 -3.1절, 8?15광복절, 제야의 종 등 기념일타종행사  -혹한기, 혹서기  ",1호선 종각 4번 출구 도보 5분  ," 종로,서울새해여행,서울보신각종,서울여행, 타종행사,제야의종,보신각,서울가볼만한곳,새해,광화문,종각역가볼만한곳,서울역사적인곳,종각역",37.56982577,126.983572
봉원사,https://korean.visitseoul.net/attractions/봉원사/KOP028339?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028339,서울 서대문구 봉원동 26 ,02-392-3007,,,,2호선 신촌역 4번 출구 3호선 독립문역 4번 출구 ,"봉원사, 마포, 독립문역, 신라,연세대, 홍대, 절, 연꽃",37.57172539,126.9472153
봉은사 ,https://korean.visitseoul.net/attractions/봉은사/KOP000411?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000411,서울 강남구 삼성동 73 ,02-3218-4800,"법회, 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음",,,7호선 청담역 2번 출구 도보 15분    2호선 삼성역 6번 출구 도보 10분    9호선 봉은사역 1번 출구 도보 1분," 템플스테이,봉은사, 봉은사역, 사찰, 불교, 코엑스, 종교, 강남, 연등행렬",37.5140508,127.0580861
봉황각,https://korean.visitseoul.net/attractions/봉황각/KOP003305?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003305,서울 강북구 우이동 254,02-120,,,,4호선 수유 6번 버스를 타고 우이동에서 하차," 만세운동, 천도교, 우이동봉황각, 유적지, 안암손병희선생, 기와집, 역사, 수유역,봉황각, 3.1독립운동",37.66055424,127.0065663
북악스카이웨이 북악팔각정,https://korean.visitseoul.net/attractions/북악스카이웨이-팔각정/KOP011117?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011117,서울시 종로구 평창동 산6-17 ,02-725-6602,,,,1호선 종로5가 08번 버스 환승 후 명륜3가 하차  ," 북악산성곽길,팔각정, 북악스카이웨이,야경, 산책로, 북악산,북악산둘레길",37.60193606,126.9804915
북촌한옥마을,https://korean.visitseoul.net/attractions/북촌한옥마을/KOP000261?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000261,서울 종로구 계동 105 북촌문화센터 일대 , 02-2133-1372,"화~일 10:00~17:00, 매주 월요일 휴무 (한옥 마을은 관광지이기에 앞서 지역 주민들의 거주 공간 입니다.)",,,3호선 안국역 3번 출구 도보 10분   ,"한국전통,부모님과함께,서울가볼만한곳,서울여행,한국문화,한옥마을,걷기좋은곳,서울나들이,북촌한옥마을데이트,서울명소,북촌한옥마을,서울북촌한옥마을,서울데이트,한국전통가옥",37.57899899,126.9866895
광화문광장,https://korean.visitseoul.net/attractions/광화문광장/KOP001899?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001899,서울 종로구 세종로 1-68,02-120,도심 열린 광장으로 연중 24시간 상시 개방,월~일,연중무휴,"3호선 경복궁 6,7번 출구 외환은행 방향으로 직진  5호선 광화문 1번, 2번, 8번 출구  1호선 시청 3번 출구 덕수궁을 지나 코리아나 호텔 방향으로 직진  "," 광화문광장, 경복궁,도시 문화 광장,광화문,세종문화회관, 세종대왕, 이순신, 청계천",37.57165012,126.9771564
국립고궁박물관,https://korean.visitseoul.net/attractions/국립고궁박물관-k/KOP020550?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP020550,서울 종로구 세종로 1-57 ,02-3701-7500,월?화?목?금?일 10:00~18:00 (입장은 마감 1시간 전까지) 수?토 요일 10:00~21:00,월~일,"-1월 1일 -설날, 추석 당일",3호선 경복궁역 5번 출구," 왕실문화,전시, 문화재, 관광지,국립고궁박물관, 유물, 서울관광, 경복궁역, 역사, 박물관",37.57689262,126.9745262
국립서울현충원,https://korean.visitseoul.net/attractions/국립현충원/KOP001965?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001965,서울 동작구 사당2동 산 41-2 ,02-813-9625,06:00 ~ 18:00 (정문.동문.통문 5개소) 09:00 ~ 18:00 (업무 시설 개방 시간),매일,"11월 공휴일, 12~2월 토요일.공휴일은 전시관 휴관","4호선 동작역 2번, 4번 출구 도보 5분","서울가볼만한곳,국립서울현충원,현충원둘레길,유적지,서울단풍명소,역사,호국보훈의달,가을단풍,현충원,현충일,서울가을단풍,서울현충원",37.50357957,126.975469
국립중앙도서관,https://korean.visitseoul.net/attractions/국립중앙도서관/KOP011010?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011010,서울특별시 서초구 반포4동 산 60-1,02-590-0500,주간이용: 10:00~18:00 야간이용: 18:00~21:00 ,월~일,"- 정기 휴관: 매월 둘째?넷째 월요일 - 일요일을 제외한 관광서의 공휴일 (※ 설 연휴와 추석 연휴 기간 중의 일요일은 휴관, 야관도서관은 토, 일 휴무) - 기타 관장이 필요하다고 인정하는 날",3호선 고속터미널 5번 출구 도보 10분 7호선 고속터미널 5번 출구 도보 10분 2호선 서초 6번 출구," 문화, 강남, 고속버스터미널역, 반포동, 국립중앙도서관, 지적문화유산,디지털도서관,서초공원, 도서관,서초역",37.49762895,127.0045321
국립중앙박물관,https://korean.visitseoul.net/attractions/국립중앙박물관/KOP000433?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000433,서울 용산구 용산동6가 168-6 ,02-2077-9000,"월, 화, 목, 금, 일요일 : 10:00 - 18:00  수, 토요일 : 10:00 - 21:00  옥외 전시장(정원)은 오전 7시부터 관람하실 수 있습니다. ",,"휴관일: 1월1일, 설날(1.25.), 추석(10.1.) 상설전시실 정기휴실일 : 매년 4, 11월 첫째 월요일 - 2020년 휴실일 : 4.6.(월) / 11.2.(월) ※기획전시실(특별전시 종료시 휴실), 어린이박물관, 야외전시장은 정상 개관",4호선?경의중앙선 이촌역 2번 출구 ," 이촌역, 어린이박물관,유물, 국립,국립중앙,시티투어버스, 역사, 국립중앙박물관, 박물관, 용산구,관람",37.52116819,126.9791297
국립한글박물관 ,https://korean.visitseoul.net/attractions/한글박물관/KOP035405?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP035405,서울 용산구 용산동6가 168-6 ,02-2124-6200,월 - 일   ,10:00 - 18:00,"1월 1일, 설날 당일, 추석 당일 * 한글도서관 휴관일: 토요일, 일요일, 공휴일(한글날 제외)",4호선?경의중앙선 이촌역 2번 출구,"한글박물관, 훈민정음,한글,세종대왕,국립한글박물관",37.5209868,126.9802179
서대문자연사박물관,https://korean.visitseoul.net/attractions/서대문자연사박물관/KOP002613?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002613,서울특별시 서대문구 연희동 산5-58,02-330-8899,3월~10월 - 평일 AM 09:00 ~ PM 06:00 토요일?공휴일 AM 09:00 ~ PM 07:00 11월~2월 - 평일 AM 09:00 ~ PM 05:00 토요일?공휴일	AM 09:00 ~ PM 06:00 (매표는 입장마감 1시간 전까지 가능),화~일,"-월요일(월요일이 공휴일이면 다음날 휴관) -1월 1일 -설날, 추석 당일 ","2호선 신촌역 3번, 4번출구"," 자연사도서관, 화산폭발, 지구환경, 박물관, 광화문, 서대문자연사박물관,연희동, 홍대, 자연사박물관, 역사,신촌역",37.57660409,126.9378168
서울 한양도성,https://korean.visitseoul.net/attractions/서울-한양도성/KOP000090?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000090,서울 종로구 종로6가 70-6 ,02-120,,,,"1, 4호선 동대문역 1, 10번 출구"," 낙산공원,4소문,성곽, 한양도성, 4대문, 인왕산,동대문, 한성대입구역, 남산",37.57289429,127.0084351
서울공예박물관 ,https://korean.visitseoul.net/attractions/서울공예박물관/KOP038092?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP038092,서울 종로구 안국동 175-112 ,02-6450-7000,10:00 ~ 18:00,화~일,"월요일 (공휴일인 경우 운영) , 1월 1일",3호선 안국역 1번 출구에서 188m,"종로놀거리,아이와함께,요즘볼거리,서울박물관,서울가볼만한곳,비오는날데이트,서울공예박물관,안국볼거리,부모님과함께,서울역사적명소,박물관데이트,서울새로생긴곳",37.57595262,126.9831656
국립현대미술관 덕수궁관,https://korean.visitseoul.net/attractions/국립현대미술관-덕수궁관/KOP001707?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001707,서울 중구 정동 5-1 덕수궁 석조전 서관,02-2022-0600,"화요일, 목요일, 금요일, 일요일 10:00~18:00  수요일, 토요일 야간개장 10:00~21:00",화~일,월,1호선 시청역 1번 출구 도보 4분 ," 대한문, 서울광장, 관광지, 덕수궁관, 전시, 문화, 정동길, 현대미술,예술, 미술관, 국립현대미술관, 덕수궁돌담길, 덕수궁미술관",37.56505492,126.9765744
대각사,https://korean.visitseoul.net/attractions/대각사-kr/KOP005015?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005015,서울 종로구 봉익동 3 ,02-744-4502,일출 시 ~ 일몰 시,월~일,연중무휴,3호선 종로3가역 8번 출구     1호선 종로3가역 8번 출구  5호선 종로3가역 8번 출구 ,"  종로 3가역, 종로사찰, 서울사찰,  불교,절, 용성스님, 대각회, 사찰, 종교, 대각사,창덕궁",37.57364607,126.9917846
서울광장,https://korean.visitseoul.net/attractions/서울광장/KOP001538?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001538,서울 중구 태평로1가 31-,02-120,매주 월요일 '잔디 쉬는 날' 운영,,,5호선 광화문 5번 6번 출구  2호선 을지로입구 1번 8번 출구  1호선 시청 5번 6번 출구 ," 문화행사, 아이스링크, 잔디,서울광장, 시청역, 시청, 문화공간",37.56620502,126.9777063
서울메트로미술관,https://korean.visitseoul.net/attractions/서울메트로미술관/KOP029238?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029238,서울 종로구 적선동 81-1 ,1577-1234,매일 7:00~22:00,,,3호선 경복궁역 6번 출구," 문화공간, 전통, 대관, 경복궁,전시,미술관,서울메트로미술관, 미술작품, 지하철역, 경복궁역, 공공미술관",37.57557082,126.9733078
국립현대미술관 서울관,https://korean.visitseoul.net/attractions/국립현대미술관-서울관/KOP011658?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011658,서울 종로구 소격동 165 165,02-3701-9500,"월요일, 화요일, 목요일, 금요일, 일요일 : 10:00 ~ 18:00 수요일, 토요일 : 10:00 ~ 21:00 (18:00 ~ 21:00 야간개장) * 발권시간 : 관람종료 1시간 전까지 가능",월~일,"1월1일, 설날, 추석","3호선 안국 1번 출구에서 북촌길 방면, 또는 삼청로 민속박물관 방면  "," 미술관,문화의거리,안국역,국립현대미술관, 현대미술, 복합문화예술센터,삼청동,광화문,소격동, 전시",37.57854096,126.9798893
덕수궁,https://korean.visitseoul.net/attractions/덕수궁/KOP002046?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002046,서울 중구 정동 5-1,02-771-9951,09:00 ~ 20:00 (매표 및 입장시간) 21:00 (퇴장시간),화~일,월요일,2호선 시청 12번 출구 도보 5분 1호선 시청 2번 출구 도보 5분  ,"한국전통,서울걷기좋은길,한국역사,덕수궁투어,한국궁,고종의길,정동길,덕수궁,서울나들이,궁궐투어,한국여행지,서울필수여행지,서울야경,덕수궁야간,궁,정동돌담길,서울여행",37.56505492,126.9765744
서울스카이,https://korean.visitseoul.net/attractions/SeoulSky/KOPowtoyc?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPowtoyc,서울 송파구 신천동 29 ,02-1661-2000,"일~목 10:30~22:00, 금~토 10:30~23:00",,,"2, 8호선 잠실역 2번 출구","롯데월드타워전망대,전망대,서울스카이,롯데월드타워,야경,롯데월드몰",37.51419392,127.1040148
서울시립과학관,https://korean.visitseoul.net/attractions/scienceseoul/KOP023629?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023629,서울 노원구 하계동 21 ,02-970-4500,09:30 ~ 17:30,화~일,"-월요일 (공휴일 겹칠시 화요일 휴관) -1월 1일 -설날, 추석 당일",7호선 하계역 3번 출구 도보 15분," 서울시립과학관,전시,과학전시장, 시립과학관,하계역, 서울과학관, 과학,과학전시, 과학프로그램, 서울여행",37.64181718,127.076598
